model,ROC_AUC,PR_AUC,F1@0.5,precision@0.5,recall@0.5
XGBoost (scale_pos_weight),0.9478412072120972,0.2594262364583733,0.32786885245901637,0.2127659574468085,0.7142857142857143
RandomForest (balanced),0.9322448035183678,0.23077606245824556,0.25210084033613445,0.23809523809523808,0.26785714285714285
RandomForest + SMOTE,0.9257048391474083,0.17339552030437386,0.26337448559670784,0.20125786163522014,0.38095238095238093
LogReg (balanced),0.908923265345887,0.15280497601497905,0.1910569105691057,0.10779816513761468,0.8392857142857143
